scenario,duration_minutes,rows,privacy_score,security_score,transparency_score,accuracy,precision,recall,f1_score,generated_alerts,correct_alerts,false_positives,false_negatives,average_total_latency_ms,total_energy_consumption_mj,encrypted_payload_rate,name_pseudonymized_rate,location_changed_rate,aggregate_csv,temporal_log_csv,privacy_score_delta_vs_standard
standard_month,43200,864000,0.21999999999999983,0.420000000000001,0.17999999999999983,0.9510243055555555,0.8010899182561307,0.006911792364115103,0.013705335291238374,367,294,73,42242,61.9175166087963,155303.99999999994,0.0,0.0,0.0,/Users/ivan/Desktop/dete4cpes-case-study/results/month_experiment_targeted/aggregate/aggregate_EXP_20260514_145504_3af5b3.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/month_experiment_targeted/logs/temporal_log_EXP_20260514_145504_3af5b3.csv,0.0
dete4cpes_medium_medium_month,43200,864000,0.49000000000000027,0.5200000000000011,0.17999999999999983,0.950925925925926,0.8597014925373134,0.006754062991018034,0.013402829486224871,335,288,47,42353,69.90873335069443,194184.00000000017,1.0,1.0,0.0,/Users/ivan/Desktop/dete4cpes-case-study/results/month_experiment_targeted/aggregate/aggregate_EXP_20260514_145617_f77b5c.csv,/Users/ivan/Desktop/dete4cpes-case-study/results/month_experiment_targeted/logs/temporal_log_EXP_20260514_145617_f77b5c.csv,0.27000000000000046
